carpark_number,update_datetime,total_lots,lot_type,lots_available,data_snapshot_time
PL57,2026-01-04T20:59:23,521,C,226,2026-01-04 21:00
PL57,2026-01-04T21:58:37,521,C,192,2026-01-04 22:00
PL57,2026-01-04T22:58:37,521,C,181,2026-01-04 23:00
PL57,2026-01-05T00:00:27,521,C,176,2026-01-05 00:01
PL57,2026-01-05T00:58:37,521,C,169,2026-01-05 01:00
PL57,2026-01-05T01:58:38,521,C,168,2026-01-05 02:00
PL57,2026-01-05T02:58:30,521,C,169,2026-01-05 03:00
PL57,2026-01-05T03:58:38,521,C,169,2026-01-05 04:00
PL57,2026-01-05T04:58:39,521,C,167,2026-01-05 05:00
PL57,2026-01-05T05:58:32,521,C,179,2026-01-05 06:00
PL57,2026-01-05T06:58:39,521,C,234,2026-01-05 07:00
PL57,2026-01-05T07:58:39,521,C,323,2026-01-05 08:00
PL57,2026-01-05T08:58:35,521,C,345,2026-01-05 09:00
PL57,2026-01-05T09:58:40,521,C,362,2026-01-05 10:00
PL57,2026-01-05T10:58:40,521,C,390,2026-01-05 11:00
PL57,2026-01-05T11:58:41,521,C,397,2026-01-05 12:00
PL57,2026-01-05T12:58:41,521,C,395,2026-01-05 13:00
PL57,2026-01-05T13:58:41,521,C,384,2026-01-05 14:00
PL57,2026-01-05T14:58:41,521,C,372,2026-01-05 15:00
PL57,2026-01-05T15:58:42,521,C,358,2026-01-05 16:00
PL57,2026-01-05T16:58:43,521,C,353,2026-01-05 17:00
PL57,2026-01-05T17:58:44,521,C,328,2026-01-05 18:00
PL57,2026-01-05T18:57:45,521,C,288,2026-01-05 19:00
PL57,2026-01-05T19:58:46,521,C,236,2026-01-05 20:00
PL57,2026-01-05T20:58:47,521,C,223,2026-01-05 21:00
PL57,2026-01-05T21:57:48,521,C,200,2026-01-05 22:00
PL57,2026-01-05T22:58:49,521,C,193,2026-01-05 23:00
PL57,2026-01-05T23:59:50,521,C,181,2026-01-06 00:01
PL57,2026-01-06T00:57:51,521,C,173,2026-01-06 01:00
PL57,2026-01-06T01:58:52,521,C,171,2026-01-06 02:00
PL57,2026-01-06T02:58:54,521,C,173,2026-01-06 03:00
PL57,2026-01-06T03:58:45,521,C,173,2026-01-06 04:00
PL57,2026-01-06T04:58:56,521,C,174,2026-01-06 05:00
